timestamp,animal_id,grade
08/22/2023 10:32:25,,S00
08/22/2023 10:32:29,,S00
08/22/2023 10:32:33,,S00
08/22/2023 10:32:37,,S00
08/22/2023 10:32:41,,S00
08/22/2023 10:32:45,,S00
08/22/2023 10:32:49,,S00
08/22/2023 10:32:53,,S00
08/22/2023 10:32:57,,S00
08/22/2023 10:33:01,,S00
08/22/2023 10:33:05,,S00
08/22/2023 10:33:09,,S00
08/22/2023 10:33:13,,S00
08/22/2023 10:33:17,,S00
08/22/2023 10:33:21,,S00
08/22/2023 10:33:25,,S00
08/22/2023 10:33:29,,S00
08/22/2023 10:33:33,,S00
08/22/2023 10:33:37,,S00
08/22/2023 10:33:41,,S00
08/22/2023 10:33:45,,S00
08/22/2023 10:33:49,,S00
08/22/2023 10:33:53,,S00
08/22/2023 10:33:57,,S00
08/22/2023 10:34:01,,S00
08/22/2023 10:34:05,,S00
08/22/2023 10:34:09,,S00
08/22/2023 10:34:13,,S00
08/22/2023 10:34:17,,S00
08/22/2023 10:34:21,,S00
08/22/2023 10:34:25,,S00
08/22/2023 10:34:29,,S00
08/22/2023 10:34:33,,S00
08/22/2023 10:34:37,,S00
08/22/2023 10:34:41,,S00
08/22/2023 10:34:45,,S00
08/22/2023 10:34:49,,S00
08/22/2023 10:34:53,,S00
08/22/2023 10:34:57,,S00
08/22/2023 10:35:01,,S00
08/22/2023 10:35:05,,S00
08/22/2023 10:35:09,,S00
08/22/2023 10:35:13,,S00
08/22/2023 10:35:17,,S00
08/22/2023 10:35:21,,S00
08/22/2023 10:35:25,,S30
08/22/2023 10:35:29,,S30
08/22/2023 10:35:33,,S30
08/22/2023 10:35:37,,S30
08/22/2023 10:35:41,,S30
08/22/2023 10:35:45,,S30
08/22/2023 10:35:49,,S30
08/22/2023 10:35:53,,S30
08/22/2023 10:35:57,,S30
08/22/2023 10:36:01,,S30
08/22/2023 10:36:05,,S30
08/22/2023 10:36:09,,S30
08/22/2023 10:36:13,,S30
08/22/2023 10:36:17,,S30
08/22/2023 10:36:21,,S30
08/22/2023 10:36:25,,S30
08/22/2023 10:36:29,,S30
08/22/2023 10:36:33,,S30
08/22/2023 10:36:37,,S30
08/22/2023 10:36:41,,S30
08/22/2023 10:36:45,,S30
08/22/2023 10:36:49,,S30
08/22/2023 10:36:53,,S30
08/22/2023 10:36:57,,S30
08/22/2023 10:37:01,,S30
08/22/2023 10:37:05,,S30
08/22/2023 10:37:09,,S30
08/22/2023 10:37:13,,S30
08/22/2023 10:37:17,,S30
08/22/2023 10:37:21,,S30
08/22/2023 10:37:25,,S30
08/22/2023 10:37:29,,S30
08/22/2023 10:37:33,,S30
08/22/2023 10:37:37,,S30
08/22/2023 10:37:41,,S30
08/22/2023 10:37:45,,S30
08/22/2023 10:37:49,,S30
08/22/2023 10:37:53,,S30
08/22/2023 10:37:57,,S30
08/22/2023 10:38:01,,S30
08/22/2023 10:38:05,,S30
08/22/2023 10:38:09,,S30
08/22/2023 10:38:13,,S30
08/22/2023 10:38:17,,S30
08/22/2023 10:38:21,,S30
08/22/2023 10:38:25,,S30
08/22/2023 10:38:29,,S30
08/22/2023 10:38:33,,S30
08/22/2023 10:38:37,,S30
08/22/2023 10:38:41,,S30
08/22/2023 10:38:45,,S30
08/22/2023 10:38:49,,S30
08/22/2023 10:38:53,,S30
08/22/2023 10:38:57,,S30
08/22/2023 10:39:01,,S30
08/22/2023 10:39:05,,S30
08/22/2023 10:39:09,,S30
08/22/2023 10:39:13,,S30
08/22/2023 10:39:17,,S30
08/22/2023 10:39:21,,S30
08/22/2023 10:39:25,,S30
08/22/2023 10:39:29,,S30
08/22/2023 10:39:33,,S30
08/22/2023 10:39:37,,S40
08/22/2023 10:39:41,,S30
08/22/2023 10:39:45,,S30
08/22/2023 10:39:49,,S30
08/22/2023 10:39:53,,S30
08/22/2023 10:39:57,,S30
08/22/2023 10:40:01,,S30
08/22/2023 10:40:05,,S30
08/22/2023 10:40:09,,S30
08/22/2023 10:40:13,,S30
08/22/2023 10:40:17,,S30
08/22/2023 10:40:21,,S30
08/22/2023 10:40:25,,S30
08/22/2023 10:40:29,,S30
08/22/2023 10:40:33,,S30
08/22/2023 10:40:37,,S30
08/22/2023 10:40:41,,S30
08/22/2023 10:40:45,,S30
08/22/2023 10:40:49,,S30
08/22/2023 10:40:53,,S30
08/22/2023 10:40:57,,S30
08/22/2023 10:41:01,,S30
08/22/2023 10:41:05,,S30
08/22/2023 10:41:09,,S30
08/22/2023 10:41:13,,S30
08/22/2023 10:41:17,,S30
08/22/2023 10:41:21,,S30
08/22/2023 10:41:25,,S30
08/22/2023 10:41:29,,S30
08/22/2023 10:41:33,,S30
08/22/2023 10:41:37,,S30
08/22/2023 10:41:41,,S30
08/22/2023 10:41:45,,S30
08/22/2023 10:41:49,,S30
08/22/2023 10:41:53,,S30
08/22/2023 10:41:57,,S30
08/22/2023 10:42:01,,S30
08/22/2023 10:42:05,,S30
08/22/2023 10:42:09,,S30
08/22/2023 10:42:13,,S30
08/22/2023 10:42:17,,S30
08/22/2023 10:42:21,,S30
08/22/2023 10:42:25,,S30
08/22/2023 10:42:29,,S30
08/22/2023 10:42:33,,S30
08/22/2023 10:42:37,,S30
08/22/2023 10:42:41,0.0,
08/22/2023 10:42:45,0.0,
08/22/2023 10:42:49,0.0,
08/22/2023 10:42:53,0.0,
08/22/2023 10:42:57,0.0,
08/22/2023 10:43:01,0.0,
08/22/2023 10:43:05,0.0,
08/22/2023 10:43:09,0.0,
08/22/2023 10:43:13,0.0,
08/22/2023 10:43:17,0.0,
08/22/2023 10:43:21,0.0,
08/22/2023 10:43:25,0.0,
08/22/2023 10:43:29,0.0,
08/22/2023 10:43:33,0.0,
08/22/2023 10:43:37,0.0,
08/22/2023 10:43:41,0.0,
08/22/2023 10:43:45,0.0,
08/22/2023 10:43:49,0.0,
08/22/2023 10:43:53,0.0,
08/22/2023 10:43:57,0.0,
08/22/2023 10:44:01,0.0,
08/22/2023 10:44:05,0.0,
08/22/2023 10:44:09,0.0,
08/22/2023 10:44:13,0.0,
08/22/2023 10:44:17,0.0,
08/22/2023 10:44:21,0.0,
08/22/2023 10:44:25,0.0,
08/22/2023 10:44:29,0.0,
08/22/2023 10:44:33,0.0,
08/22/2023 10:44:37,0.0,
08/22/2023 10:44:41,0.0,
08/22/2023 10:44:45,0.0,
08/22/2023 10:44:49,0.0,
08/22/2023 10:44:53,0.0,
08/22/2023 10:44:57,0.0,
08/22/2023 10:45:01,0.0,
08/22/2023 10:45:05,0.0,
08/22/2023 10:45:09,0.0,
08/22/2023 10:45:13,0.0,
08/22/2023 10:45:17,0.0,
08/22/2023 10:45:21,0.0,
08/22/2023 10:45:25,0.0,
08/22/2023 10:45:29,0.0,
08/22/2023 10:45:33,0.0,
08/22/2023 10:45:37,0.0,
